,City,City ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Jaru,3925040,100,BR,1580072502,85,-10.44,-62.47,83.19,1.36
1,Qaanaaq,3831208,4,GL,1580072504,56,77.48,-69.36,-10.25,5.14
2,Rikitea,4030556,0,PF,1580072533,79,-23.12,-134.97,78.87,13.2
3,Hamilton,4513583,90,US,1580072508,78,39.18,-84.53,43.0,8.05
4,Voh,2137748,69,NC,1580072510,77,-20.97,164.7,77.81,7.81
5,Bengkulu,1649150,70,ID,1580072512,88,-3.8,102.27,74.55,3.36
6,Cherskiy,2126199,100,RU,1580072236,88,68.75,161.3,-20.2,2.13
7,Fortuna,5563839,40,US,1580072544,76,40.6,-124.16,57.99,9.17
8,Tasiilaq,3424607,100,GL,1580072546,47,65.61,-37.64,32.0,10.29
9,Guerrero Negro,4021858,0,MX,1580072548,57,27.98,-114.06,69.04,10.45
10,Katherine,2068655,24,AU,1580072550,78,-14.47,132.27,80.6,5.82
11,Cidreira,3466165,0,BR,1580072597,77,-30.18,-50.21,78.26,10.83
12,Iquique,3887127,0,CL,1580072506,58,-20.22,-70.14,82.4,18.34
13,Khatanga,2022572,93,RU,1580072599,98,71.97,102.5,-21.46,1.03
14,Leh,1264976,0,IN,1580072600,71,34.17,77.58,-12.64,5.61
15,Fergus Falls,5026416,75,US,1580072602,92,46.28,-96.08,28.4,3.94
16,Jamestown,5122534,90,US,1580072603,92,42.1,-79.24,35.01,9.17
17,Oussouye,2246901,91,SN,1580072604,33,12.48,-16.55,86.0,2.24
18,Kysyl-Syr,2021017,100,RU,1580072605,94,63.9,122.76,-25.94,11.41
19,Upernavik,3418910,98,GL,1580072606,94,72.79,-56.15,-15.92,2.33
20,Ilulissat,3423146,91,GL,1580072608,60,69.22,-51.1,10.4,8.05
21,Comodoro Rivadavia,3860443,0,AR,1580072597,26,-45.87,-67.5,69.8,17.22
22,Mthatha,946058,100,ZA,1580072610,76,-31.59,28.78,57.2,6.93
23,Tres Arroyos,3833859,66,AR,1580072548,47,-38.37,-60.28,69.75,22.1
24,Punta Arenas,3874787,20,CL,1580072612,47,-53.15,-70.92,57.2,28.86
25,Hilo,5855927,1,US,1580072614,57,19.73,-155.09,82.99,4.7
26,Ulladulla,2145554,90,AU,1580072615,88,-35.35,150.47,69.01,4.7
27,Avarua,4035715,100,CK,1580072616,88,-21.21,-159.78,78.8,11.41
28,Butaritari,2110227,100,KI,1580072617,81,3.07,172.79,82.83,16.6
29,Bredasdorp,1015776,56,ZA,1580072618,72,-34.53,20.04,59.0,4.7
30,Nikolskoye,546105,75,RU,1580072620,85,59.7,30.79,32.0,6.71
31,Busselton,2075265,0,AU,1580072621,44,-33.65,115.33,66.99,11.36
32,Ambilobe,1082243,100,MG,1580072622,92,-13.2,49.05,75.34,4.45
33,Yangi Marg`ilon,1513491,75,UZ,1580072623,80,40.43,71.72,37.4,2.24
34,Ushuaia,3833367,75,AR,1580072461,76,-54.8,-68.3,50.0,27.51
35,Fort Morgan,5577158,1,US,1580072475,20,40.25,-103.8,55.4,4.7
36,Auki,2109701,99,SB,1580072627,75,-8.77,160.7,84.2,8.46
37,Mirny,2019951,75,RU,1580072629,100,62.54,113.96,12.2,13.42
38,Vaini,4032243,40,TO,1580072630,88,-21.2,-175.2,80.6,5.82
39,Huasahuasi,3939123,100,PE,1580072632,79,-11.32,-75.62,50.68,8.08
40,Havre-Saint-Pierre,5972291,90,CA,1580072633,92,50.23,-63.6,26.6,14.99
41,Wahpeton,5062355,75,US,1580072634,92,46.27,-96.61,27.0,2.33
42,Arraial do Cabo,3471451,0,BR,1580072635,69,-22.97,-42.03,80.6,12.75
43,Kaitangata,2208248,100,NZ,1580072636,71,-46.28,169.85,64.99,5.1
44,Puerto Ayora,3652764,75,EC,1580072638,83,-0.74,-90.35,78.8,2.24
45,Petropavlovsk-Kamchatsky,2122104,75,RU,1580072639,92,53.05,158.65,21.2,4.47
46,Ustye,477846,92,RU,1580072640,96,59.63,39.74,22.12,8.7
47,Mataura,6201424,100,NZ,1580072641,87,-46.19,168.86,60.01,5.01
48,Dudinka,1507116,40,RU,1580072643,84,69.41,86.18,1.4,13.42
49,Khani,610864,60,GE,1580072644,72,41.96,42.96,32.0,6.93
50,Kruisfontein,986717,0,ZA,1580072645,79,-34.0,24.73,57.56,13.24
51,Lebu,3883457,6,CL,1580072646,50,-37.62,-73.65,68.9,12.35
52,Namatanai,2090021,6,PG,1580072647,75,-3.67,152.43,83.68,10.31
53,Port Shepstone,964406,100,ZA,1580072649,86,-30.74,30.45,63.03,15.5
54,Tomatlan,3981391,0,MX,1580072650,32,19.93,-105.25,86.88,4.36
55,Chokurdakh,2126123,100,RU,1580072651,97,70.63,147.92,-23.1,5.64
56,Port Moresby,2088122,75,PG,1580072652,100,-9.44,147.18,75.2,9.17
57,Bandarbeyla,64814,25,SO,1580072653,79,9.49,50.81,78.51,28.21
58,Foca,314903,40,TR,1580072655,71,38.67,26.76,57.2,8.05
59,East London,1006984,43,ZA,1580072657,60,-33.02,27.91,68.0,25.9
60,Pastavy,623760,88,BY,1580072658,88,55.12,26.83,33.87,10.42
61,Bluff,2206939,98,NZ,1580072660,87,-46.6,168.33,60.01,5.01
62,San Quintin,3984997,67,MX,1580072386,79,30.48,-115.95,59.23,13.35
63,Constitucion,3893726,31,CL,1580072663,64,-35.33,-72.42,69.6,13.78
64,Clyde River,5924351,90,CA,1580072664,75,70.47,-68.59,-20.2,13.87
65,Ucluelet,6171633,90,CA,1580072566,93,48.93,-125.55,50.0,13.87
66,Yellowknife,6185377,90,CA,1580072486,84,62.46,-114.35,5.0,13.87
67,George Town,1735106,20,MY,1580072668,83,5.41,100.34,80.6,3.36
68,Azare,2348595,0,NG,1580072669,20,11.68,10.19,67.03,10.67
69,Alexandria,361058,20,EG,1580072379,76,31.22,29.96,53.6,2.24
